# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 977  of event 'cycles:u'
# Event count (approx.): 933124532
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
     0.06%  prterun          [unknown]                   [k] 0xffffffffb7a0d483
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] __libc_calloc
     0.06%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] mca_base_var_group_deregister
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76ec847
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2b7
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e628a5
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc1717ca7
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e6286f
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df304
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000010
     0.06%  oshm_get_mr.exe  libucm.so.0.0.0             [.] ucm_bistro_apply_patch_atomic
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4ee53
     0.06%  prterun          libpmix.so.2.13.3           [.] pmix_mca_base_var_generate_full_name4
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] __add_to_environ
     0.06%  oshrun           libc-2.28.so                [.] __memchr_avx2
     0.06%  oshrun           libc-2.28.so                [.] __strncmp_avx2
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57925
     0.06%  oshm_get_mr.exe  [vdso]                      [.] __vdso_gettimeofday
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] __GI_____strtoll_l_internal
     0.06%  prterun          libpmix.so.2.13.3           [.] pmix_class_initialize
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_feof
     0.06%  prterun          ld-2.28.so                  [.] strcmp
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_topo_get_memory_distance_sysfs
     0.06%  oshm_get_mr.exe  ld-2.28.so                  [.] check_match
     0.06%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_fixup
     0.06%  prterun          libhwloc.so.5.7.6           [.] 0x000000000001b363
     0.06%  prterun          [unknown]                   [k] 0xffffffffb7e55127
     0.06%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc52
     0.06%  prterun          [unknown]                   [k] 0xffffffffb78c60b9
     0.06%  oshm_get_mr.exe  libdl-2.28.so               [.] dlsym
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7887501
