# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 984406205
#
# Overhead  Command          Shared Object               Symbol                                   
# ........  ...............  ..........................  .........................................
#
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e488cc
     0.04%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_sscanf_int
     0.04%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_find_by_path
     0.04%  oshrun           [unknown]                   [k] 0xffffffffb788766e
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78c60ce
     0.04%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002b1e6
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78c4041
     0.04%  prterun          [unknown]                   [k] 0xffffffffb772596b
     0.04%  prterun          [unknown]                   [k] 0xffffffffb76d1d56
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7e632f0
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb784f2f3
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7a340a7
     0.04%  prterun          libc-2.28.so                [.] _int_malloc
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4ee86
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e64978
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb784d9be
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d98bc
     0.03%  prterun          [unknown]                   [k] 0xffffffffb7e55467
     0.03%  oshm_get_mr.exe  libpthread-2.28.so          [.] __pthread_rwlock_rdlock
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4e8cc
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4ee53
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e57929
     0.03%  prterun          libc-2.28.so                [.] _IO_vsscanf
     0.03%  prterun          libc-2.28.so                [.] __asprintf
     0.02%  prterun          libc-2.28.so                [.] _IO_str_init_static_internal
     0.02%  oshrun           ld-2.28.so                  [.] do_lookup_x
     0.02%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0e76c00
     0.02%  oshrun           libnuma.so.1.0.0            [.] 0x0000000000003bcd
     0.02%  oshrun           ld-2.28.so                  [.] _dl_relocate_object
     0.02%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e48b93
     0.02%  oshrun           ld-2.28.so                  [.] check_match
     0.02%  prterun          libpmix.so.2.13.3           [.] pmix_util_keyval_yylex
     0.01%  prterun          libc-2.28.so                [.] __strncmp_avx2
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7e4de63
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78d50dc
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78c6142
     0.01%  prterun          libpmix.so.2.13.3           [.] hash_cache_job_info
     0.01%  prterun          [unknown]                   [k] 0xffffffffb797c19f
     0.01%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_check_map_versions
     0.01%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000016bdd
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7984a50
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7945248
     0.01%  prterun          [unknown]                   [k] 0xffffffffb784fc20
     0.01%  prterun          libc-2.28.so                [.] __inet_pton_length
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7894741
     0.01%  prterun          ld-2.28.so                  [.] strcmp
