# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 988  of event 'cycles:u'
# Event count (approx.): 955455892
#
# Overhead  Command          Shared Object               Symbol                                               
# ........  ...............  ..........................  .....................................................
#
     0.08%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbce
     0.08%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7a15c94
     0.08%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_bitmap_bits_fns
     0.08%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ud_mlx5_iface_post_recv
     0.08%  prterun          libc-2.28.so                [.] malloc
     0.08%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bbfc
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7855240
     0.07%  async            [unknown]                   [k] 0xffffffffb7905688
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7984df7
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d4aea
     0.07%  async            [unknown]                   [k] 0xffffffffb7e685d8
     0.07%  oshm_get_mr.exe  libc-2.28.so                [.] __cxa_finalize
     0.07%  oshm_get_mr.exe  liboshmem.so.0.0.0          [.] spml_ucx_default_progress
     0.07%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_runtime_resolve_xsavec
     0.07%  async            [unknown]                   [k] 0xffffffffc0476070
     0.07%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_bfrops_base_tma_value_destruct.constprop.162
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb800009f
     0.07%  prterun          [unknown]                   [k] 0xffffffffb7945220
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76335fb
     0.07%  prterun          [unknown]                   [k] 0xffffffffb797c1b8
     0.07%  srun             libslurmfull.so             [.] slurm_plugin_get_syms
     0.07%  srun             libc-2.28.so                [.] check_halt_state_context.isra.21
     0.07%  oshm_get_mr.exe  libopen-pal.so.0.0.0        [.] mca_base_var_get
     0.07%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_address_unpack_iface_attr_v1
     0.07%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_fixup
     0.07%  oshm_get_mr.exe  libucm.so.0.0.0             [.] ucm_bistro_apply_patch_atomic
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] __strstr_sse2
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000076
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e55d7
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78b6085
     0.06%  oshm_get_mr.exe  libucm.so.0.0.0             [.] gettimeofday@plt
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df2f4
     0.06%  oshm_get_mr.exe  libuct.so.0.0.0             [.] uct_config_release
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000090
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000043
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000013
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e632f0
     0.06%  prterun          ld-2.28.so                  [.] do_lookup_x
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_debug_cleanup
     0.06%  prterun          [unknown]                   [k] 0xffffffffc0e8ac99
     0.06%  oshm_get_mr.exe  libm-2.28.so                [.] __ieee754_log_fma
     0.06%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_ud_iface_t_init
     0.06%  prterun          [unknown]                   [k] 0xffffffffb8001130
     0.06%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_eager_zcopy_single_probe
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_array_grow
     0.06%  oshm_get_mr.exe  libevent_core-2.1.so.6.0.2  [.] event_assign
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4e96e
     0.06%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] strcmp@plt
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_free
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] __mpn_divrem
     0.06%  prterun          libpmix.so.2.13.3           [.] pmix_bfrop_type_info_construct
     0.06%  prterun          libc-2.28.so                [.] sscanf
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7984dee
     0.06%  prterun          libhwloc.so.5.7.6           [.] 0x00000000000068c8
     0.06%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002b206
     0.06%  prterun          [unknown]                   [k] 0xffffffffb78d50f0
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e5791b
     0.05%  oshm_get_mr.exe  hmca_mcast_vmc.so           [.] hmca_mcast_vmc_query
     0.05%  prterun          ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7982844
     0.05%  prterun          [unknown]                   [k] 0xffffffffb772596a
     0.05%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_str_to_memunits
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7725916
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7854d02
     0.05%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb79859f3
     0.05%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_stats_is_active
     0.05%  oshm_get_mr.exe  libocoms.so.0.0.0           [.] ocoms_mca_base_var_group_get_internal
     0.05%  prterun          libc-2.28.so                [.] __GI___readdir64
     0.05%  prterun          [unknown]                   [k] 0xffffffffb78c4043
     0.05%  oshm_get_mr.exe  libc-2.28.so                [.] __GI_____strtoull_l_internal
     0.05%  prterun          libc-2.28.so                [.] _IO_no_init
     0.05%  prterun          [unknown]                   [k] 0xffffffffb78c575a
     0.05%  prterun          [unknown]                   [k] 0xffffffffb78d9402
     0.04%  prterun          [unknown]                   [k] 0xffffffffb772596b
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e4ee9d
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7e4de63
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78c5c79
     0.04%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_sscanf_time
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d50dc
     0.04%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_netif_get_addr
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7835c2e
     0.04%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_vsnprintf
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7a34046
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7855251
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7e6569e
     0.04%  prterun          [unknown]                   [k] 0xffffffffb7e632fc
     0.04%  prterun          [unknown]                   [k] 0xffffffffb78a5762
     0.04%  prterun          [unknown]                   [k] 0xffffffffb76d88e3
     0.04%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_vfs_node_create
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55641
     0.04%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_bfrops_base_pack_buffer
     0.04%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_file_underflow@@GLIBC_2.2.5
     0.04%  prterun          libc-2.28.so                [.] __strcmp_avx2
     0.04%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_default_uflow
     0.04%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7854cda
     0.03%  srun             libc-2.28.so                [.] set_regs
     0.03%  srun             libslurmfull.so             [.] _conf_hashtbl_index
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76b7446
     0.03%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc5c
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78a574b
     0.03%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] free@plt
     0.03%  prterun          [unknown]                   [k] 0xffffffffb78c4051
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb797c19f
     0.03%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78e09c1
     0.02%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e475b2
     0.02%  oshrun           ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.02%  oshrun           ld-2.28.so                  [.] _dl_relocate_object
     0.01%  prterun          [unknown]                   [k] 0xffffffffb794474d
     0.01%  prterun          libhwloc.so.5.7.6           [.] 0x0000000000016a34
