# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 997  of event 'cycles:u'
# Event count (approx.): 974460696
#
# Overhead  Command          Shared Object            Symbol                                    
# ........  ...............  .......................  ..........................................
#
     0.08%  prterun          [unknown]                [k] 0xffffffffb8001130
     0.08%  prterun          [unknown]                [k] 0xffffffffb7e6496e
     0.08%  oshm_get_mr.exe  libocoms.so.0.0.0        [.] ocoms_argv_split_inter
     0.08%  async            [unknown]                [k] 0xffffffffb7905c23
     0.08%  prterun          [unknown]                [k] 0xffffffffb78874a8
     0.08%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7856393
     0.08%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb8000010
     0.08%  prterun          libpmix.so.2.13.3        [.] register_variable
     0.08%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e4e982
     0.08%  oshm_get_mr.exe  libucs.so.0.0.0          [.] ucs_array_grow
     0.08%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e4f08f
     0.08%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7667e9c
     0.08%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffc16ec7ef
     0.08%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e62b87
     0.08%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb79771d7
     0.07%  prterun          libc-2.28.so             [.] sscanf
     0.07%  async            [unknown]                [k] 0xffffffffb76e5b00
     0.07%  prterun          libhwloc.so.5.7.6        [.] 0x0000000000022bb8
     0.07%  srun             libslurmfull.so          [.] slurm_s_p_parse_file
     0.07%  srun             libslurmfull.so          [.] xstrncasecmp@plt
     0.07%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb79310c5
     0.07%  oshm_get_mr.exe  libmlx5.so.1.12.28.0     [.] 0x0000000000006090
     0.07%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb76e9705
     0.07%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7a1eb11
     0.07%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7984b5f
     0.07%  oshm_get_mr.exe  libibverbs.so.1.8.28.0   [.] 0x00000000000156ca
     0.07%  prterun          libhwloc.so.5.7.6        [.] 0x0000000000009b1d
     0.07%  prterun          libpmix.so.2.13.3        [.] PMIx_Argv_copy
     0.07%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e57c77
     0.07%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb772608e
     0.07%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0  [.] uct_rc_mlx5_iface_common_dm_tl_init
     0.07%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78d4b5b
     0.07%  oshm_get_mr.exe  libopen-pal.so.0.0.0     [.] opal_util_keyval_yylex
     0.07%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7dad01b
     0.06%  prterun          libc-2.28.so             [.] _IO_vfscanf
     0.06%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb76e93a1
     0.06%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb76df2f4
     0.06%  oshm_get_mr.exe  libmlx5.so.1.12.28.0     [.] 0x000000000002a88c
     0.06%  oshm_get_mr.exe  libuct.so.0.0.0          [.] uct_iface_mp_chunk_alloc
     0.06%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb76e5688
     0.06%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb8000043
     0.06%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e48b5f
     0.06%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7626c6f
     0.06%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb76e96ae
     0.06%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7984da7
     0.06%  prterun          [unknown]                [k] 0xffffffffb78c568a
     0.06%  oshm_get_mr.exe  libmlx5.so.1.12.28.0     [.] 0x000000000002bc5c
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0          [.] ucs_vfs_node_create
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0          [.] ucs_mpool_put
     0.06%  oshm_get_mr.exe  ld-2.28.so               [.] _dl_map_object
     0.06%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78d8e09
     0.06%  oshm_get_mr.exe  libuct.so.0.0.0          [.] uct_base_iface_query
     0.06%  oshm_get_mr.exe  libucp.so.0.0.0          [.] ucp_init_version
     0.06%  prterun          libpmix.so.2.13.3        [.] pmix41_bfrops_base_pack_general_int
     0.05%  oshm_get_mr.exe  libucs.so.0.0.0          [.] ucs_read_file
     0.05%  prterun          [unknown]                [k] 0xffffffffb78c6198
