# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 947503536
#
# Overhead  Command          Shared Object               Symbol                                        
# ........  ...............  ..........................  ..............................................
#
     0.00%  prterun          libc-2.28.so                [.] __ctype_init
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7667e2a
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78188b9
     0.00%  prterun          libhwloc.so.5.7.6           [.] hwloc_linux_set_tid_cpubind
     0.00%  srun             [unknown]                   [k] 0xffffffffb784fb6a
     0.00%  srun             [unknown]                   [k] 0xffffffffb8001140
     0.00%  prterun          libpthread-2.28.so          [.] start_thread
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78188e2
     0.00%  prterun          libc-2.28.so                [.] __clone
     0.00%  prterun          libevent_core-2.1.so.6.0.2  [.] event_active_nolock_
     0.00%  srun             libc-2.28.so                [.] __clone
     0.00%  srun             libc-2.28.so                [.] __ctype_init
     0.00%  srun             libc-2.28.so                [.] __strncasecmp_l_avx
