# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 912193742
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
     0.07%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_config_sscanf_time
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d9900
     0.07%  srun             libc-2.28.so                [.] re_node_set_compare
     0.07%  oshm_get_mr.exe  libc-2.28.so                [.] __GI_____strtoull_l_internal
     0.07%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e6289b
     0.07%  oshm_get_mr.exe  libmlx5.so.1.12.28.0        [.] 0x000000000002bc12
     0.06%  oshm_get_mr.exe  libucp.so.0.0.0             [.] ucp_proto_perf_node_update_data
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76e9697
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb788a5cd
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000076
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76041ed
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76df304
     0.06%  oshm_get_mr.exe  libmpi.so.0.0.0             [.] mca_pml_ucx_request_init
     0.06%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix_bfrops_base_pack_buffer
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e6286f
     0.06%  oshm_get_mr.exe  [vdso]                      [.] __vdso_gettimeofday
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb76041b8
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_free
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] __strtok_r
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] _IO_getc
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78a5721
     0.06%  prterun          libpmix.so.2.13.3           [.] pmix_bfrops_base_pack_value
     0.06%  oshm_get_mr.exe  libucs.so.0.0.0             [.] ucs_async_handler_get
     0.06%  prterun          libpmix.so.2.13.3           [.] pack_server_keyindex_blob
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7e55613
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb8000043
     0.06%  oshm_get_mr.exe  libocoms.so.0.0.0           [.] register_variable.isra.2
     0.06%  oshm_get_mr.exe  libuct_ib_mlx5.so.0.0.0     [.] uct_ib_mlx5_fill_cq_common
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] round_and_return
     0.06%  oshm_get_mr.exe  libocoms.so.0.0.0           [.] ocoms_hash_table_set_value_ptr
     0.06%  oshrun           libc-2.28.so                [.] __strlen_avx2
     0.06%  prterun          libc-2.28.so                [.] __memchr_avx2
     0.06%  prterun          [unknown]                   [k] 0xffffffffb7984a57
     0.06%  prterun          [unknown]                   [k] 0xffffffffb78f00e9
     0.06%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_name_match_p
     0.06%  oshm_get_mr.exe  libc-2.28.so                [.] printf_positional
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7855264
     0.06%  prterun          ld-2.28.so                  [.] do_lookup_x
     0.06%  oshm_get_mr.exe  libuct_ib.so.0.0.0          [.] uct_ib_iface_recv_desc_init
     0.06%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78ce347
     0.05%  srun             libslurmfull.so             [.] slurm_xstrcmp
